Lean Financial Model,,,,,,,,,,,,
Educational template — not financial advice. Replace assumptions with your own.,,,,,,,,,,,,
,,,,,,,,,,,,
ASSUMPTIONS,Value,,,,,,,,,,,
Starting customers,40,,,,,,,,,,,
New customers / month,8,,,,,,,,,,,
Monthly churn rate,0.03,,,,,,,,,,,
Price / customer / month,40,,,,,,,,,,,
Variable cost / customer / month,9,,,,,,,,,,,
Fixed costs / month,6800,,,,,,,,,,,
Starting cash,50000,,,,,,,,,,,
,,,,,,,,,,,,
MONTH,0,1,2,3,4,5,6,7,8,9,10,11
Customers,40,,,,,,,,,,,
Revenue (=customers*price),1600,,,,,,,,,,,
Variable cost (=customers*varcost),360,,,,,,,,,,,
Contribution margin,1240,,,,,,,,,,,
Fixed costs,6800,,,,,,,,,,,
Operating profit (=CM-fixed),-5560,,,,,,,,,,,
Cash (=prev cash + op profit),44440,,,,,,,,,,,
,,,,,,,,,,,,
NOTES,"Customers[t] = Customers[t-1]*(1-churn) + new. Fill the row formulas in your spreadsheet; this CSV seeds the structure and the month-0 column.",,,,,,,,,,,
